start,end,today,consent,village_name,gvh_name,ta_name,farmer_gender,farmer_age,farmer_hoh,hoh_education,n_years_farming,own_livestock,own_livestock_animals,own_livestock_animals.cows,own_livestock_animals.chickens,own_livestock_animals.pigs,own_livestock_animals.goats,own_livestock_animals.sheep,own_livestock_animals.other,farming_main_income,household_main_income,n_acres_farm,n_acres_maize,source_water_farm,chem_fertilizer,chem_fertilizer_type,n_bags_npk,n_bags_npk_subsidized,price_bags_npk_nonsubsidized,price_bags_npk_subsidized,enough_bags_npk,n_bags_npk_desired,n_bags_npk_buying_next_year,n_bags_urea,n_bags_urea_subsidized,price_bags_urea_nonsubsidized,price_bags_urea_subsidized,enough_bags_urea,n_bags_urea_desired,n_bags_urea_buying_next_year,able_buy_bags_past,n_bags_maize_t1_season,n_bags_maize_t2_season,n_bags_maize_t3_season,fertilizer_comparison_5years,same_tool_for_fertilizer,single_tool_fertilizer,single_tool_fertilizer_other,tool_basal_fertilizer,tool_basal_fertilizer_other,tool_topdressing_fertilizer,tool_topdressing_fertilizer_other,timing_fertilizer,timing_fertilizer_mix_ntimes,timing_fertilizer_mix,timing_fertilizer_mix_other,place_fertilizer_mix,place_fertilizer_mix_other,ratio_fertilizer_mix_npk,ratio_fertilizer_mix_urea,timing_fertilizer_mix_t1,timing_fertilizer_mix_t1_other,place_fertilizer_mix_t1,place_fertilizer_mix_t1_other,ratio_fertilizer_mix_t1_npk,ratio_fertilizer_mix_t1_urea,timing_fertilizer_mix_t2,timing_fertilizer_mix_t2_other,place_fertilizer_mix_t2,place_fertilizer_mix_t2_other,ratio_fertilizer_mix_t2_npk,ratio_fertilizer_mix_t2_urea,timing_basal_fertilizer,timing_basal_fertilizer_other,place_basal_fertilizer,place_basal_fertilizer_other,timing_topdressing,timing_topdressing_other,place_topdressing,place_topdressing_other,basal_fertilizer_grams,topdressing_fertilizer_grams,know_recommended_tools,reason_no_use_scoop,reason_no_use_scoop_other,would_use_scoop_if_given,would_use_scoop_if_available,wtp_scoop,selling_points_scoop,selling_points_scoop_location,know_price_scoop,price_scoop,type_seed,n_seeds,planting_distance,ridges_distance,several_plants_emerging,intercropping,intercrop_type,intercrop_type_other,pesticide_use,fertilizer_subsidy_received,concern_fertilizer_removed,concern_fertilizer_removed_explain,fertilizer_programme_effective,fertilizer_programme_improvements,fertilizer_programme_improvements_explain,apply_org_fertilizer,origin_org_fertilizer,how_apply_org_fertilizer,challenges_org_fertilizer,type_challenges_org_fertilizer,type_challenges_org_fertilizer_other,sufficient_org_fertilizer,subsidies_org_fertilizer,health_soil_now,health_soil_t10,reasons_changes,suggestions_soil_improvement,final_comments,end_message,uuid
2024-07-29T12:51:53Z,2024-07-29T13:31:49Z,2024-07-29,Yes,Blantyre,Nkwapatila,Nsomba,Male,30,Yes,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,1,1,Rain-fed,Yes,Both,1,0,55000,NA,No,2,1,1,0,55000,NA,No,2,2,No,3,10,8,More,Yes,"Metal bottle top without the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,In the middle of two planting stations,NA,28 days after basal application,NA,In the middle of two planting stations,NA,6.399999999999999,3.1999999999999993,No,Other,I don't have any idea,Yes,Yes,500,No,NA,No,NA,Hybrid,1 seed,29,84.5,Yes,No,NA,NA,No,No,Very concerned,Its very difficult to buy fertilizer,No,Yes,Involving chief when collecting data,Yes,Buying manure,Making a small hole to put the fertilizer in (like a chemical fertilizer),Yes,Difficult to apply,NA,No,Yes,Moderately healthy,NA,It requires a lot of fertilizer to harvest more,Applying manure,No,NA,d0610d55-32aa-4b86-95a2-8cd74bced980
2024-07-29T13:08:30Z,2024-07-29T13:31:37Z,2024-07-29,Yes,Blantyre,Nkwapatila,Nsomba,Male,25,Yes,Primary,Between 2 and 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1.5,1.5,Both,Yes,Both,2,0,55000,NA,No,3,2,2,0,55000,NA,No,3,2,Yes,6,10,12,More,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,6.699999999999999,7.599999999999998,Yes,Don't know where to buy one,NA,Yes,Yes,100,No,NA,No,NA,Local variety,2 seeds,30,64,Yes,No,NA,NA,No,No,Neutral,I have not being receiving coupons for the past 2years,No,Not sure,NA,Yes,Manure from own livestock,Apply in planting stations before planting,Yes,Not able to buy/produce enough,NA,No,Yes,Very healthy,NA,It does not depend on fertilizer for me to harvest more,Applying manure,No,NA,d13be6f4-9945-486d-b1f2-afff19db8993
2024-07-29T09:05:36Z,2024-07-29T09:30:55Z,2024-07-29,Yes,Chunga,Chimwangata,Somba,Male,73,Yes,Primary,More than 5 years,Yes,goats,0,0,0,1,0,0,Yes,NA,2,1.5,Rain-fed,Yes,NPK,0.5,0,15000,NA,No,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,7,3,10,More,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,100,No,NA,No,NA,Local variety,2 seeds,20,100,Yes,No,NA,NA,No,No,Very concerned,"We are used to subsidy fertilizer, is our only hope for higher harvest since we cant afford the retail fertilizer",Yes,Not sure,NA,Yes,Manure from own livestock,Mix with chemical fertilizers and apply,No,NA,NA,Not sure,Yes,Unhealthy,NA,Soil erosion,Apply manure,Cheaper fertilizer could help us to grow enough for my family,NA,3ad436ef-9fa6-421e-98cc-23700e088562
2024-07-29T09:37:36Z,2024-07-29T10:04:48Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Male,49,Yes,Secondary,Less than 2 years,Yes,chickens cows,1,1,0,0,0,0,No,Informal employment (self),1,1,Rain-fed,Yes,Both,0.4,0,20000,NA,No,2,1,0.4,0,20000,NA,No,2,1,No,2,18,NA,More,Yes,Other,It was a mixture of chemical fertilizer and organic fertilizer so we were using hands to apply to the planting station,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,21 days after basal application,NA,In the hole of the planting station,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,500,No,NA,No,NA,Hybrid,3 seeds,35,35,No,Yes,Pigeon Peas,NA,No,No,Very concerned,We can't afford retail fertilizer,Not sure,Not sure,NA,Yes,Manure from own livestock,Mix with chemical fertilizers and apply,No,NA,NA,No,Yes,Healthy,NA,Bacause i do apply constant manures,Is already healthy,Government should continue apply subsidy fertilizer and should help us having access to irrigation Farming,NA,eda70e87-9e69-417c-bbb7-61f057fc85a3
2024-07-29T10:04:55Z,2024-07-29T10:30:13Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Female,38,No,Secondary,More than 5 years,Yes,goats,0,0,0,1,0,0,No,Informal employment (self),3,3,Rain-fed,Yes,Both,1.5,0,90,NA,No,3,3,1.5,0,90,NA,No,3,2,No,11,40,42,More,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At the same time,Twice,NA,NA,NA,NA,NA,NA,7 days after germination,NA,In the hole of the planting station,NA,2,1,21 days after germination,NA,In the hole of the planting station,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Don't know where to buy one,NA,Yes,Yes,200,No,NA,No,NA,Local variety,1 seed,25,70,No,Yes,Pigeon Peas,NA,No,No,Concerned,It helps us to have cheaper fertilizers,Yes,Not sure,NA,No,NA,NA,NA,NA,NA,Not sure,Yes,Moderately healthy,NA,Soil erosion,Apply organic fertilizer and conduct proper farming practices,Cheaper fertilizer could help us to increase our crop production so government should help us,NA,1cb50dcf-19db-4887-af4e-5191b0ca24e8
2024-07-29T12:00:01Z,2024-07-29T12:16:11Z,2024-07-29,Yes,Kwapatira,Kwapatira,Somba,Female,60,Yes,Primary,More than 5 years,Yes,goats,0,0,0,1,0,0,No,Informal employment (self),2,1,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,3,6,9,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,1500,No,NA,No,NA,Local variety,2 seeds,40,95,Yes,Yes,Pigeon Peas,NA,No,No,Very concerned,We cant afford retail fertilizer,Yes,Not sure,NA,Yes,Making own composite from organic residues,Apply in planting stations before planting,Yes,Not able to buy/produce enough,NA,No,Yes,Unhealthy,NA,It has been used frequently without proper manure and fertilizers,Applying enough manure,"If i could have access to enough fertilizer i could be able to harvest enough food for my family since, i have difficulties to afford enough money.",NA,4f58b230-4690-4f59-bca3-6c0ad5667246
2024-07-29T12:18:28Z,2024-07-29T12:28:19Z,2024-07-29,Yes,kwapatita,Kwapatira,Somba,Female,25,No,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,No,Formal employment,0.9,0.6,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,5,12,16,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,600,No,NA,No,NA,Local variety,3 seeds,30,90,Yes,Yes,Groundnut,NA,No,No,Very concerned,"We depend on subsidy, since we cannot afford the fertilizer",Not sure,Not sure,NA,Yes,Making own composite from organic residues,Around the crops after germination,Yes,Not able to buy/produce enough,NA,Not sure,Yes,Moderately healthy,NA,Even when we don't apply fertilizer we managed to harvest,Apply enough manure and follow proper farming,Government should help us to have access to fertilizer,NA,7f653068-d360-40ba-adc9-cff0beb0ca43
2024-07-29T12:34:57Z,2024-07-29T12:49:10Z,2024-07-29,Yes,Kwapatira,Kwapatira,Somba,Female,70,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,3,3,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,6,12,25,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,100,No,NA,No,NA,Hybrid,3 seeds,35,78,Yes,Yes,Pigeon Peas,NA,No,No,Very concerned,"I cannot afford the fertilizer, so i do depend on subsidy fertilizer",Yes,Not sure,NA,Yes,Manure from own livestock,Apply between the the ridges before making the ridges,Yes,Not able to buy/produce enough,NA,Not sure,Yes,Very healthy,NA,When we receive enough rain we are able to produce enough even without fertilizer,Government should help us with cheaper fertilizer for us to harvest more,NA,NA,4a660b13-3963-4edb-b400-a1215d9ea4c5
2024-07-29T13:10:50Z,2024-07-29T13:28:34Z,2024-07-29,Yes,Nkwapatira,Nkwapatira,Somba,Female,60,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),0.3,0.3,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,0.5,2,2,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,50,No,NA,No,NA,Local variety,2 seeds,40,80,Yes,Yes,Pigeon Peas,NA,No,No,Not concerned,My name has  never appeared from subsidy fertilizer list,No,Not sure,NA,No,NA,NA,NA,NA,NA,Not sure,Yes,Moderately healthy,NA,Even without fertilizer it do produce less so i think is moderate healthy,Apply manure and fertilizer,We need access to cheaper organic and chemical fertilizer,NA,e579eb76-db49-44cd-8ed0-c86edb93ee3e
2024-07-29T13:38:27Z,2024-07-29T14:04:12Z,2024-07-29,Yes,Chikowa,Jana,Somba,Female,26,No,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,0.5,Rain-fed,Yes,Both,1.5,0,80000,NA,No,3,0,1.5,0,80000,NA,No,3,0,No,0,5,3.5,More,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,Close (ca. 10cm) to the planting station,NA,21 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,11,5.899999999999999,No,Other,I have never seen,Yes,Yes,300,No,NA,No,NA,Hybrid,3 seeds,40,70,Yes,Yes,Other,Pumpkins,Yes,No,Very concerned,Fertilizer is expensive,No,Yes,Reduce the price for everyone to purchase on the market,Yes,Other,Apply in planting stations before planting,No,NA,NA,No,Yes,Unhealthy,NA,Not sure,Applying enough manure,No,NA,829bdd1a-a130-4993-9c20-bad172a61fb5
